"Date (UTC)","Timestamp (UTC)","150k","120k","115k","110k","100k","95k","90k","60k"
"06-09-2025 10:00","1749463206","0.0105","0.19","0.42","0.73","0.455","0.215","0.095","0.0045"
"06-09-2025 11:00","1749466807","0.017","0.205","0.475","0.765","0.44","0.205","0.085","0.0045"
"06-09-2025 12:00","1749470407","0.0175","0.22","0.495","0.815","0.405","0.185","0.08","0.0045"
"06-09-2025 13:00","1749474007","0.0175","0.22","0.505","0.81","0.405","0.185","0.065","0.005"
"06-09-2025 14:00","1749477606","0.0165","0.21","0.445","0.75","0.445","0.21","0.075","0.005"
"06-09-2025 15:00","1749481207","0.0165","0.215","0.475","0.79","0.395","0.19","0.07","0.006"
"06-09-2025 16:00","1749484806","0.0165","0.215","0.475","0.795","0.395","0.19","0.075","0.005"
"06-09-2025 17:00","1749488407","0.0185","0.235","0.475","0.795","0.395","0.175","0.07","0.005"
"06-09-2025 18:00","1749492007","0.0185","0.245","0.495","0.85","0.345","0.155","0.065","0.0045"
"06-09-2025 19:00","1749495607","0.0185","0.255","0.51","0.86","0.355","0.155","0.065","0.0045"
"06-09-2025 20:00","1749499206","0.0175","0.255","0.515","0.87","0.345","0.155","0.065","0.0045"
"06-09-2025 21:00","1749502806","0.015","0.265","0.555","0.885","0.345","0.155","0.065","0.0045"
"06-09-2025 22:00","1749506406","0.022","0.315","0.62","0.9995","0.29","0.135","0.055","0.0045"
"06-09-2025 23:00","1749510007","0.0275","0.335","0.645","0.9995","0.295","0.13","0.055","0.0045"
"06-10-2025 00:00","1749513606","0.025","0.335","0.645","","0.29","0.13","0.055","0.0045"
"06-10-2025 01:00","1749517206","0.022","0.32","0.61","","0.295","0.135","0.055","0.0045"
"06-10-2025 02:00","1749520806","0.0205","0.31","0.61","","0.305","0.14","0.06","0.0045"
"06-10-2025 03:00","1749524407","0.02","0.325","0.6","","0.305","0.135","0.06","0.0045"
"06-10-2025 04:00","1749528006","0.02","0.335","0.6","","0.305","0.135","0.06","0.0045"
"06-10-2025 05:00","1749531607","0.021","0.325","0.61","","0.31","0.14","0.06","0.0045"
"06-10-2025 06:00","1749535207","0.0225","0.305","0.595","","0.315","0.14","0.06","0.0045"
"06-10-2025 07:00","1749538807","0.021","0.315","0.615","","0.31","0.15","0.06","0.0045"
"06-10-2025 08:00","1749542407","0.021","0.315","0.595","","0.325","0.15","0.06","0.0045"
"06-10-2025 09:00","1749546006","0.0205","0.295","0.575","","0.33","0.15","0.06","0.0045"
"06-10-2025 10:00","1749549607","0.0235","0.305","0.58","","0.305","0.14","0.06","0.0045"
"06-10-2025 11:00","1749553207","0.02","0.31","0.57","","0.315","0.14","0.065","0.0045"
"06-10-2025 12:00","1749556807","0.0195","0.315","0.605","","0.315","0.14","0.055","0.0045"
"06-10-2025 13:00","1749560407","0.019","0.315","0.625","","0.315","0.14","0.055","0.0045"
"06-10-2025 14:00","1749564007","0.0195","0.31","0.575","","0.325","0.145","0.055","0.0045"
