trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot
115,120000.0,2025-06-12 04:00:00+00:00,2025-06-12 21:00:00+00:00,YES,0.205,0.125,-0.0454769168329331,-0.1440268863174826,946.2079189427246,193.97262338325854,-85.06409191295093,stop_loss,10034.158860573503,10236.716306649303
120,115000.0,2025-06-12 21:00:00+00:00,2025-06-12 23:00:00+00:00,YES,0.34,0.34,-0.042592211607318,-0.0207578453911207,523.7463449644504,178.07375728791314,-10.684425437274797,convergence,9508.47443513623,10034.158860573503
121,120000.0,2025-06-12 21:00:00+00:00,2025-06-13 00:00:00+00:00,YES,0.125,0.125,-0.1440268863174826,0.0198262865862986,4000.0,500.0,-30.0,convergence,9993.47443513623,9850.742890566953
112,100000.0,2025-06-11 15:00:00+00:00,2025-06-13 01:00:00+00:00,YES,0.29,0.625,-0.0523752034442497,-0.0640342380810019,791.5437012825048,229.54767337192638,243.4392653294344,take_profit,10164.925403381283,10518.611477643977
119,95000.0,2025-06-12 20:00:00+00:00,2025-06-13 01:00:00+00:00,YES,0.16,0.295,-0.0861066561428202,-0.083685847399729,2309.6452713015005,369.5432434082401,280.27545367243704,take_profit,10825.830397764208,10300.060691112187
122,90000.0,2025-06-13 00:00:00+00:00,2025-06-13 02:00:00+00:00,YES,0.075,0.15,-0.0719123406097445,-0.0187217436513874,3992.5229858571697,299.43922393928773,272.4896937847518,take_profit,10731.107410158209,9993.47443513623
123,95000.0,2025-06-13 01:00:00+00:00,2025-06-13 02:00:00+00:00,YES,0.295,0.345,-0.083685847399729,-0.0167055143160441,1279.6169359359367,377.4869961011013,39.41220162682686,convergence,11159.33121776917,10825.830397764208
124,100000.0,2025-06-13 01:00:00+00:00,2025-06-13 03:00:00+00:00,YES,0.625,0.65,-0.0640342380810019,-0.0091125263047421,445.5510307791575,278.4693942369734,-5.903551157823813,convergence,11440.251142675428,10437.018791780074
125,100000.0,2025-06-13 04:00:00+00:00,2025-06-13 06:00:00+00:00,YES,0.595,0.605,-0.0402649685369422,-0.0247031257958059,322.5779778113047,191.9338967977263,-8.387027423093912,convergence,11202.426913985913,11440.251142675428
126,95000.0,2025-06-13 05:00:00+00:00,2025-06-13 08:00:00+00:00,YES,0.285,0.275,-0.0475524249878464,0.0069508306630667,781.5949625836192,222.75456433633147,-20.946744997240984,convergence,11410.917370255094,11242.55922897377
127,100000.0,2025-06-13 08:00:00+00:00,2025-06-13 15:00:00+00:00,YES,0.535,0.54,-0.0557462233515396,-0.0067367440801466,495.4170937447067,265.0481451534181,-13.500115804543213,convergence,11182.642279408523,11410.917370255094
128,115000.0,2025-06-13 13:00:00+00:00,2025-06-13 16:00:00+00:00,YES,0.275,0.305,-0.0449317865007333,-0.0210339302898984,758.252339071589,208.51939324468697,9.553979472302018,convergence,11158.755207498989,11137.917780747073
129,120000.0,2025-06-13 15:00:00+00:00,2025-06-13 16:00:00+00:00,YES,0.105,0.125,-0.0517201056565974,-0.0275652780194843,2295.10888972596,240.98643342122583,30.065926455410107,convergence,11437.037160378262,11182.642279408523
130,95000.0,2025-06-13 17:00:00+00:00,2025-06-13 19:00:00+00:00,YES,0.23,0.265,-0.053179551445624,-0.0171218176999417,1101.841496477988,253.42354418993722,22.20210615403147,convergence,10996.490576908664,11437.037160378262
131,100000.0,2025-06-13 17:00:00+00:00,2025-06-13 20:00:00+00:00,YES,0.485,0.545,-0.0964789120712799,-0.0090516924624194,926.3310772167538,449.2705724501256,26.956234347007523,convergence,11291.664244272864,11176.010909862627
132,120000.0,2025-06-13 19:00:00+00:00,2025-06-13 22:00:00+00:00,YES,0.11,0.125,-0.0412201248437018,-0.0296534888135577,1716.9572516013845,188.8652976761523,13.64981015023102,convergence,11499.845311029532,10996.490576908664
133,100000.0,2025-06-13 23:00:00+00:00,2025-06-14 02:00:00+00:00,YES,0.485,0.515,-0.0541286332609183,-0.0121178197780884,534.7688225068803,259.3628789158369,5.684341886080802e-14,convergence,11499.845311029532,11499.845311029532
135,115000.0,2025-06-14 04:00:00+00:00,2025-06-14 05:00:00+00:00,YES,0.285,0.29,-0.0416307338074382,-0.0166611619313332,685.853375284836,195.46821195617827,-8.401703847239247,convergence,11260.285292273138,11268.686996120377
136,100000.0,2025-06-14 09:00:00+00:00,2025-06-14 10:00:00+00:00,YES,0.54,0.555,-0.0442813006991047,-0.0174061149784604,384.73771526609016,207.7583662436887,-6.867568217499667,convergence,11253.41772405564,11260.285292273138
134,120000.0,2025-06-14 03:00:00+00:00,2025-06-14 14:00:00+00:00,YES,0.11,0.095,-0.0468372662175364,-0.0258663630106738,2040.23225868628,224.4255484554908,-43.15091227121482,convergence,10831.31206493035,11499.845311029532
138,100000.0,2025-06-14 11:00:00+00:00,2025-06-14 17:00:00+00:00,YES,0.53,0.575,-0.0420989396186031,-0.0255726644509931,365.48820313631524,193.70874766224708,4.331035207165314,convergence,11035.163110229629,11043.057107879216
139,95000.0,2025-06-14 12:00:00+00:00,2025-06-14 19:00:00+00:00,YES,0.225,0.245,-0.0430266444000206,-0.0287341833508147,864.0018791572538,194.4004228103821,5.097611087027786,convergence,11240.49315681135,10843.537097787103
137,115000.0,2025-06-14 10:00:00+00:00,2025-06-14 21:00:00+00:00,YES,0.25,0.245,-0.0435566039643297,-0.0273321501909413,816.9344317531002,204.23360793827504,-16.216148470299032,convergence,11434.637624517474,11253.41772405564
140,120000.0,2025-06-14 21:00:00+00:00,2025-06-15 00:00:00+00:00,YES,0.085,0.105,-0.0412698978246316,-0.0228386782910134,2313.266306007472,196.62763601063514,33.07970817590683,convergence,11032.298551561718,11434.637624517474
